partner,host,class,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,eager_score
118,ccc0391.campuscluster.illinois.edu,intra,1.1473155e-06,1.1473155e-06,2.795110053481625e-10,28.62141327864746,22.61683119853729,1011,8088,0.5553388464131018
119,ccc0391.campuscluster.illinois.edu,intra,1.098073e-06,1.0456695e-06,3.072159315985631e-10,26.040316198358955,31.47884284444979,1011,8088,0.7086612276863393
120,ccc0391.campuscluster.illinois.edu,intra,1.214287e-06,1.214287e-06,4.0063805193288656e-10,19.968148211094363,22.79352691048159,1011,8088,0.5529834733964055
121,ccc0391.campuscluster.illinois.edu,intra,1.0332705e-06,1.0326945e-06,3.079212225335479e-10,25.980671076117215,29.354831011963622,1011,8088,0.7053153691943888
122,ccc0391.campuscluster.illinois.edu,intra,1.1447055e-06,1.1447055e-06,4.976213467065114e-10,16.076480747756715,22.60498308942831,1011,8088,0.5555252218127158
123,ccc0391.campuscluster.illinois.edu,intra,1.1053315e-06,1.049296e-06,,,31.24553014034259,1011,8088,0.6953263023110481
124,ccc0391.campuscluster.illinois.edu,intra,1.144896e-06,1.1430075e-06,5.267742013654955e-10,15.186772585412365,29.180418304626894,1011,8088,0.5621360165426404
125,ccc0391.campuscluster.illinois.edu,intra,1.1072455e-06,1.0516255e-06,3.2048933816258805e-10,24.96182882670969,31.31193111186151,1011,8088,0.724300235411504
126,ccc0391.campuscluster.illinois.edu,intra,1.1547395e-06,1.1547395e-06,5.483385606377274e-10,14.589526570401796,22.628080365163648,36003,288024,0.6034489696770986
127,ccc0391.campuscluster.illinois.edu,intra,1.0441165e-06,1.0436805e-06,2.7097848518690617e-10,29.52263901867352,22.87926572349799,1011,8088,0.737885118609006
128,ccc0392.campuscluster.illinois.edu,inter,2.8776445e-06,2.7582645e-06,3.0097384594635582e-09,2.658038267360242,247.69822996915312,1080,8640,1.1684557308682442
129,ccc0392.campuscluster.illinois.edu,inter,2.4998275e-06,2.4998275e-06,3.4145864195835467e-10,23.428898897148734,311.0750714393071,1011,8088,0.8014303157976064
130,ccc0392.campuscluster.illinois.edu,inter,2.685738e-06,2.685738e-06,2.888795780108237e-09,2.7693200243113956,195.0715862334365,1011,8088,0.6560609065928116
131,ccc0392.campuscluster.illinois.edu,inter,2.522731e-06,2.4996125e-06,3.3277810851299656e-10,24.04004288547593,301.6340670827789,1011,8088,0.7817332904538284
132,ccc0392.campuscluster.illinois.edu,inter,2.692641e-06,2.685733e-06,2.900376586973374e-09,2.758262508369035,196.71593336341348,1011,8088,0.668596403972804
133,ccc0392.campuscluster.illinois.edu,inter,2.52216e-06,2.515838e-06,3.2380428268031706e-10,24.70628224487746,297.12306656318555,1011,8088,0.7786320386142352
134,ccc0392.campuscluster.illinois.edu,inter,2.693337e-06,2.693337e-06,2.908117571136573e-09,2.750920416492439,199.22824588686564,1011,8088,0.627954364049156
