partner,host,class,socket,t_lat_s,t_lat_min_s,inv_bw_s_per_word,bw_GB_s,m2_words,m_eager_words,m_eager_bytes,m_eager_next_bytes,eager_score
31,ccc0392.campuscluster.illinois.edu,intra,1,1.0228755e-06,1.0228755e-06,7.466158763342513e-10,10.71501457922185,22.894603411480315,1011,8088,8224,0.2801713952091819
32,ccc0392.campuscluster.illinois.edu,intra,0,1.1085925e-06,1.1085925e-06,1.052861825645634e-09,7.598337982378888,22.580101213574824,1011,8088,8224,0.23418575846949438
33,ccc0392.campuscluster.illinois.edu,intra,1,1.013708e-06,1.01208e-06,7.462934124398787e-10,10.719644400779806,22.89054165786423,1011,8088,8224,0.27395045094362047
34,ccc0392.campuscluster.illinois.edu,intra,0,1.114659e-06,1.114659e-06,1.0570488731401963e-09,7.568240412795899,22.595953205696123,1011,8088,8224,0.23202188348457295
35,ccc0392.campuscluster.illinois.edu,intra,1,1.017315e-06,1.017315e-06,7.482222546083181e-10,10.692010229217075,22.894205910888406,1011,8088,8224,0.2830566223305634
36,ccc0392.campuscluster.illinois.edu,intra,0,1.1158315e-06,1.1158315e-06,1.0561205310329819e-09,7.574892983261364,22.59926599104771,1011,8088,8224,0.23370213431146789
37,ccc0392.campuscluster.illinois.edu,intra,1,1.012696e-06,1.012696e-06,4.5547601785003115e-10,17.564042203060755,30.31439669433814,1011,8088,8224,0.28489544704870695
38,ccc0392.campuscluster.illinois.edu,intra,0,1.0879435e-06,1.0816215e-06,5.615662753532877e-10,14.245869723866715,22.383079013681,1011,8088,8224,0.23755293075517322
39,ccc0392.campuscluster.illinois.edu,intra,1,1.005763e-06,9.97522e-07,7.494915220703165e-10,10.673903258974354,22.717763390035866,1011,8088,8224,0.2853406095842066
40,ccc0392.campuscluster.illinois.edu,intra,0,1.12053e-06,1.12053e-06,1.0545149674534555e-09,7.586426221449631,22.611075451739588,1011,8088,8224,0.23217076547063004
41,ccc0392.campuscluster.illinois.edu,intra,1,1.0166285e-06,1.01477e-06,7.4640630187583e-10,10.71802311943885,22.893283762164963,1011,8088,8224,0.2786908297255399
42,ccc0392.campuscluster.illinois.edu,intra,0,1.109169e-06,1.109169e-06,5.662506225099601e-10,14.128019788374333,22.57129726078429,1011,8088,8224,0.24447349933193116
43,ccc0392.campuscluster.illinois.edu,intra,1,1.002502e-06,9.949675e-07,4.5492089975274894e-10,17.585474759124118,22.826173145832517,1011,8088,8224,0.29012884517451304
44,ccc0392.campuscluster.illinois.edu,intra,0,1.0867465e-06,1.0805245e-06,5.648388345025831e-10,14.16333210701612,22.371658634452753,1011,8088,8224,0.23219498367669367
45,ccc0392.campuscluster.illinois.edu,intra,1,1.0185025e-06,1.012656e-06,4.5609728459089664e-10,17.54011758078262,33.28401241733105,1011,8088,8224,0.290361228014993
46,ccc0392.campuscluster.illinois.edu,intra,0,1.0881035e-06,1.082573e-06,1.057255455750549e-09,7.566761615167807,22.38609082352782,1011,8088,8224,0.2410756064794025
47,ccc0392.campuscluster.illinois.edu,intra,1,1.015396e-06,1.015396e-06,7.468816056858681e-10,10.711202336618705,22.877930004586744,1011,8088,8224,0.2828686239989329
48,ccc0392.campuscluster.illinois.edu,intra,0,1.1121895e-06,1.1121895e-06,1.0585014858006475e-09,7.5578542943176155,22.582791426935547,1011,8088,8224,0.23688556857911544
49,ccc0392.campuscluster.illinois.edu,intra,1,1.0176005e-06,1.0176005e-06,7.481133915206712e-10,10.693566096629553,22.89678916996582,1011,8088,8224,0.28229446872734
