# P=64 nodes=1 M=63 msg_vol=100000 nsizes=500 host0=ccc0391.campuscluster.illinois.edu date=2026-09-12T00:27:34
partner,partner_host,class,nwds,bytes,nloop,t_half_s,mb_per_s
0,ccc0391.campuscluster.illinois.edu,self,2316,18528,43,2.057677907e-05,900.4325
0,ccc0391.campuscluster.illinois.edu,self,2354,18832,42,2.086428571e-05,902.5950
0,ccc0391.campuscluster.illinois.edu,self,2392,19136,41,2.110646341e-05,906.6417
0,ccc0391.campuscluster.illinois.edu,self,2431,19448,41,2.151526829e-05,903.9162
0,ccc0391.campuscluster.illinois.edu,self,2470,19760,40,2.204501250e-05,896.3479
0,ccc0391.campuscluster.illinois.edu,self,2510,20080,39,2.201889744e-05,911.9439
0,ccc0391.campuscluster.illinois.edu,self,2551,20408,39,2.208248718e-05,924.1713
0,ccc0391.campuscluster.illinois.edu,self,2592,20736,38,2.933155263e-05,706.9520
0,ccc0391.campuscluster.illinois.edu,self,2634,21072,37,2.290068919e-05,920.1470
0,ccc0391.campuscluster.illinois.edu,self,2677,21416,37,2.315712162e-05,924.8127
0,ccc0391.campuscluster.illinois.edu,self,2720,21760,36,2.385200000e-05,912.2925
0,ccc0391.campuscluster.illinois.edu,self,2764,22112,36,2.362615278e-05,935.9120
0,ccc0391.campuscluster.illinois.edu,self,2809,22472,35,2.416564286e-05,929.9153
0,ccc0391.campuscluster.illinois.edu,self,2854,22832,35,2.427571429e-05,940.5285
0,ccc0391.campuscluster.illinois.edu,self,2900,23200,34,2.485342647e-05,933.4729
0,ccc0391.campuscluster.illinois.edu,self,2947,23576,33,2.522280303e-05,934.7098
0,ccc0391.campuscluster.illinois.edu,self,2995,23960,33,2.537672727e-05,944.1722
0,ccc0391.campuscluster.illinois.edu,self,3043,24344,32,2.618946875e-05,929.5339
0,ccc0391.campuscluster.illinois.edu,self,3092,24736,32,2.595528125e-05,953.0238
0,ccc0391.campuscluster.illinois.edu,self,3142,25136,31,2.669687097e-05,941.5336
0,ccc0391.campuscluster.illinois.edu,self,3193,25544,31,2.702346774e-05,945.2525
0,ccc0391.campuscluster.illinois.edu,self,3245,25960,30,2.722025000e-05,953.7017
0,ccc0391.campuscluster.illinois.edu,self,3297,26376,30,2.728940000e-05,966.5291
